acl 2.3.1-2
libteam 1.31-5
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-4
libtirpc 1.3.3-1
libtool 2.4.7-5
libunistring 1.0-1
libunrar 1:6.1.7-1
libunwind 1.6.2-1
liburcu 0.13.2-1
libusb 1.0.26-1
libuv 1.44.2-1
libva 2.15.0-6
libva-mesa-driver 22.1.7-1
libvdpau 1.5-1
libverto 0.3.2-4
libvips 8.13.1-1
libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.12.0-1
libwacom 2.4.0-1
libwebp 1.2.4-1
libwmf 0.2.12-2
libx11 1.8.1-3
libxau 1.0.10-1
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.2-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfixes 6.0.0-1
libxfont2 2.0.6-1
libxft 2.3.5-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxklavier 5.4-3
libxml2 2.10.2-2
libxmlb 0.3.9-1
libxmu 1.1.3-3
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxshmfence 1.3-3
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.3-5
libxv 1.0.11-5
libxxf86vm 1.1.4-5
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
licenses 20220125-1
lilv 0.24.18-1
linux-api-headers 5.18.15-1
linux-firmware 20220815.8413c63-1
linux-firmware-whence 20220815.8413c63-1
linux-headers 5.19.7.arch1-1
linux-lts 5.15.65-1
linux-lts-headers 5.15.65-1
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lua 5.4.4-2
luajit 2.1.0.beta3.r439.g633f265f-1
lv2 1.18.8-1
lvm2 2.03.16-2
lxmenu-data 0.1.5-3
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
make 4.3-3
mathjax 3.2.2-1
maturin 0.13.2-1
md4c 0.4.8-1
mdadm 4.2-2
menu-cache 1.1.0-3
mesa 22.1.7-1
mesa-utils 8.5.0-2
meson 0.63.2-1
metis 5.1.0.p10-2
minecraft-launcher 1:1.0.1221-1
minizip 1:1.2.12-2
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220725-1
mpfr 4.1.0.p13-3
mpv 1:0.34.1-5
mtdev 1.1.6-2
mujs 1.2.0-2
mupdf 1.20.3-1
mypaint-brushes1 1.3.1-1
mypy 0.971-1
nano 6.4-1
nasm 2.15.05-1
ncdu 2.1.2-1
ncurses 6.3-3
ndctl 74-1
netpbm 10.73.37-2
nettle 3.8.1-1
networkmanager 1.40.0-1
ninja 1.11.1-1
node-gyp 9.1.0-1
nodejs 18.8.0-1
